timestamp,date,ticker,company_name,sector,model,recommendation,conviction,position_size,current_price,fair_value,upside_percent,intrinsic_value_range,margin_of_safety,quality_score,moat_rating,risk_score,risk_rating,expected_return_3y,composite_score,value_rec,growth_rec,risk_rec,analyst_agreement,key_catalyst,stop_loss,output_file,notes
2026-01-31T16:09:08.592395,2026-01-31,NFLX,"Netflix, Inc.",Communication Services,gemini-3-flash-preview,HOLD,6.0,1.0,83.48999786376953,72.0,0.0,,,,Strong,,,5.0,6.08,,,,,,0.0,output/NFLX_20260131_160908.txt,
2026-01-31T16:37:16.778854,2026-01-31,NFLX,"Netflix, Inc.",Communication Services,gemini-2.5-flash-lite,STRONG BUY,8.0,4.0,83.48999786376953,222.44,0.0,,,,,,,51.0,0.0,,,,,,0.0,output/NFLX_20260131_163716.txt,
2026-01-31T16:54:56.357342,2026-01-31,NFLX,"Netflix, Inc.",Communication Services,deepseek-reasoner,BUY,6.5,2.5,83.48999786376953,0.0,0.0,,,,Medium,,,20.0,7.19,,,,,,0.0,output/NFLX_20260131_165456.txt,
2026-01-31T17:23:13.546568,2026-01-31,NFLX,"Netflix, Inc.",Communication Services,deepseek-reasoner,BUY,6.5,3.0,83.48999786376953,0.0,13.8,,,,,,,16.0,7.14,,,,,,0.0,output/NFLX_20260131_172313.txt,
2026-01-31T22:22:06.003059,2026-01-31,U,Unity Software Inc.,Technology,deepseek-reasoner,HOLD,3.0,0.8,29.100000381469727,20.0,-31.3,,,,Medium,,,15.0,2.86,,,,,,0.0,output/U_20260131_222205.txt,
2026-01-31T23:00:58.958811,2026-01-31,NOW,"ServiceNow, Inc.",Technology,deepseek-reasoner,STRONG BUY,7.8,3.9,117.01000213623047,115.0,0.0,,,,,,,55.0,7.66,,,,,,0.0,output/NOW_20260131_230058.txt,
2026-01-31T23:36:04.746768,2026-01-31,PANW,"Palo Alto Networks, Inc.",Technology,deepseek-reasoner,SELL,7.0,0.0,176.97000122070312,95.0,-46.0,,,,,,,5.0,5.08,,,,,,0.0,output/PANW_20260131_233604.txt,
2026-02-01T00:25:51.170456,2026-02-01,CRWD,"CrowdStrike Holdings, Inc.",Technology,deepseek-reasoner,HOLD,4.0,0.0,441.4049987792969,220.0,-50.2,,,,Strong,,,5.0,3.8,,,,,,0.0,output/CRWD_20260201_002551.txt,
2026-02-01T01:01:41.063749,2026-02-01,CHYM,"Chime Financial, Inc.",Technology,deepseek-reasoner,SELL,4.0,0.0,25.420000076293945,0.0,-41.0,,,,Medium,,,0.0,4.7,,,,,,0.0,output/CHYM_20260201_010141.txt,
2026-02-01T01:31:49.747704,2026-02-01,KLAR,N/A,Technology,deepseek-reasoner,HOLD,4.0,0.0,23.06999969482422,22.5,0.0,,,,Medium,,,2.0,5.82,,,,,,0.0,output/KLAR_20260201_013149.txt,
